City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Tabas,IR,33.5959,56.9244,87.4,12,100,5.35,overcast clouds
122,San Jose,US,37.3394,-121.895,53.51,78,100,11.5,overcast clouds
123,Kabalo,CD,-6.05,26.9167,75.51,92,100,5.35,moderate rain
124,Lowestoft,GB,52.4752,1.7516,64.08,82,100,8.79,overcast clouds
125,Kismayo,SO,-0.3582,42.5454,84.43,71,100,11.1,overcast clouds
126,Dauphin,CA,51.1494,-100.0502,14.14,67,20,14.97,few clouds
127,Sola,VU,-13.8833,167.55,81.57,70,81,1.7,broken clouds
128,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,85.23,63,71,10.71,broken clouds
129,Mokhsogollokh,RU,61.4681,128.9203,25.36,98,100,3.94,light snow
130,Pingliang,CN,35.5392,106.6861,38.97,97,100,7.02,overcast clouds
131,Asau,RO,46.4333,26.4,69.28,34,1,8.46,clear sky
132,Vila Velha,BR,-20.3297,-40.2925,80.55,69,75,20.0,broken clouds
133,Grand Gaube,MU,-20.0064,57.6608,79.2,83,4,7.0,clear sky
134,Katobu,ID,-4.9408,122.5276,76.12,94,41,3.65,scattered clouds
135,Manacapuru,BR,-3.2997,-60.6206,80.35,79,100,2.73,overcast clouds
136,Urumqi,CN,43.801,87.6005,43.75,13,0,2.24,clear sky
137,Itacare,BR,-14.2775,-38.9967,87.48,62,11,12.91,few clouds
138,Montorio Al Vomano,IT,42.5831,13.6383,76.44,60,89,5.55,overcast clouds
139,Rio Gallegos,AR,-51.6226,-69.2181,46.45,87,75,3.44,moderate rain
140,Santa Rosa,PH,14.3122,121.1114,83.1,81,74,4.38,broken clouds
141,Grand Baie,MU,-20.0182,57.5802,79.27,83,4,7.0,clear sky
142,Husavik,IS,66.0449,-17.3389,48.54,66,99,14.25,overcast clouds
143,Tay Ninh,VN,11.3,106.1,82.74,74,98,6.38,overcast clouds
144,Klaksvik,FO,62.2266,-6.589,49.12,99,100,14.58,overcast clouds
145,Yerbogachen,RU,61.2767,108.0108,13.89,93,100,1.23,overcast clouds
146,Nikolskoye,RU,59.7035,30.7861,42.69,88,100,7.94,overcast clouds
147,Lingyuan,CN,41.24,119.4011,47.3,19,0,5.3,clear sky
