City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
62,Butaritari,KI,80.44,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
63,Osmena,PH,81.03,scattered clouds,10.5208,119.9258,Arjemarkyza Lodge
64,Bandarbeyla,SO,83.52,broken clouds,9.4942,50.8122,JABIR HOTEL
65,Komsomolskiy,UZ,75.92,clear sky,40.4272,71.7189,Ikathouse
66,Sao Gabriel Da Cachoeira,BR,73.44,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
67,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
68,Requena,ES,66.52,few clouds,39.4883,-1.1004,Hotel Avenida
69,Eirunepe,BR,76.8,overcast clouds,-6.6603,-69.8736,Atrás de você
71,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
72,Alice Springs,AU,74.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
76,Bud,US,61.41,few clouds,39.447,-86.1758,Ted McQuinn Trust
77,Rocha,UY,67.64,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
80,Bethel,US,62.46,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
81,Vasto,IT,64.69,overcast clouds,42.1243,14.7059,Hotel President
83,Dingle,PH,76.57,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
85,Montepuez,MZ,74.66,few clouds,-13.1256,38.9997,PembaAparthotel
89,El Rincon,HN,69.64,broken clouds,14.5833,-87.9333,Finca Altamira
96,Yarada,IN,86.32,broken clouds,17.65,83.2667,Yarada Jungle Beach Resorts
98,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
101,Tabuk,PH,74.3,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
103,Bredasdorp,ZA,60.64,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
105,Ixtapa,MX,81.32,overcast clouds,20.7,-105.2,hotel la terminal
107,Kahului,US,72.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
110,Alyangula,AU,76.87,moderate rain,-13.8483,136.4192,Groote Eylandt Lodge
112,Port Elizabeth,ZA,64.69,few clouds,-33.918,25.5701,39 On Nile Guest House
113,Murray Bridge,AU,61.34,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
114,Harper,LR,83.37,overcast clouds,4.375,-7.7169,Screensaver
116,Cidreira,BR,63.0,overcast clouds,-30.1811,-50.2056,Hotel Castelo
117,Bengkulu,ID,78.42,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
118,Ponta Delgada,PT,61.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
119,Hambantota,LK,82.74,scattered clouds,6.1241,81.1185,Bungalow 63
120,Vaitape,PF,81.34,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
121,Tabas,IR,87.4,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
124,Lowestoft,GB,64.08,overcast clouds,52.4752,1.7516,Premier Inn Lowestoft hotel
125,Kismayo,SO,84.43,overcast clouds,-0.3582,42.5454,Agan-Hotel
127,Sola,VU,81.57,broken clouds,-13.8833,167.55,Leumerus Bungalows
128,Sao Jose Da Coroa Grande,BR,85.23,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
131,Asau,RO,69.28,clear sky,46.4333,26.4,Casa Mika Ciobanus
132,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
133,Grand Gaube,MU,79.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
134,Katobu,ID,76.12,scattered clouds,-4.9408,122.5276,La Ode Husein
135,Manacapuru,BR,80.35,overcast clouds,-3.2997,-60.6206,Novo Hotel
137,Itacare,BR,87.48,few clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
138,Montorio Al Vomano,IT,76.44,overcast clouds,42.5831,13.6383,Hotel Vomano
140,Santa Rosa,PH,83.1,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
141,Grand Baie,MU,79.27,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
143,Tay Ninh,VN,82.74,overcast clouds,11.3,106.1,Thanh Tuyền Hotel
150,Biabou,VC,82.4,broken clouds,13.2,-61.1333,Spring Garden Resort
152,Haimen,CN,67.89,scattered clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
155,Yulara,AU,85.84,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
156,Majene,ID,79.75,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
158,Altagracia De Orituco,VE,88.09,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
159,Nshamba,TZ,69.51,overcast clouds,-1.7983,31.5511,Mugemuzi’s Family
162,Boyolangu,ID,76.42,broken clouds,-8.1181,111.8935,Yos ega cv
163,Kapit,MY,75.87,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
166,Lorengau,PG,81.97,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
172,Faya,SA,79.32,clear sky,18.3851,42.4509,املاك خالد الشعشوع
173,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
179,Penha,BR,67.87,clear sky,-26.7694,-48.6458,Hotel Mirante Do Parque
181,Wanning,CN,76.03,clear sky,18.8003,110.3967,Paradise Hotel
182,Carnarvon,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
183,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
187,Hithadhoo,MV,84.02,clear sky,-0.6,73.0833,Scoop Guest House
189,La Romana,DO,82.76,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
190,Touros,BR,87.98,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
193,Manokwari,ID,79.38,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
195,Aguai,BR,70.9,few clouds,-22.0594,-46.9786,CHÁCARA GUERRA
196,Kudahuvadhoo,MV,84.87,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
197,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
